"date","weighted","close","high","low","open","volume"
"2018-12-31 16:12:00","138.298846","142.66","144.25","132.31","133.49","99694138.01"
"2019-01-01 16:01:00","151.641826","156.57","160.04","141.6","142.66","165620342.65"
"2019-01-02 16:01:00","151.492144","149.44","157.66","144.58","156.57","121609753.62"
"2019-01-03 16:01:00","153.752356","156.04","158.8","147.32","149.44","161910054.26"
"2019-01-04 16:01:00","159.565787","156.23","163.63","154.7","156.04","152585957.97"
"2019-01-05 16:01:00","156.367863","158.61","163.11","150.49","156.23","146912818.82"
"2019-01-06 16:01:00","154.538711","152.09","160.19","150.18","158.61","94643450.59"
"2019-01-07 16:01:00","151.656692","151.1","155.13","147.76","152.09","109964654.99"
"2019-01-08 16:01:00","152.837595","151.17","157.82","150.05","151.1","86228877.34"
"2019-01-09 16:01:00","134.002181","127.96","152.75","124.07","151.17","197435643.47"
"2019-01-10 16:01:00","127.059451","127.16","130.07","123.1","127.96","85532867.49"
"2019-01-11 16:01:00","126.660184","125.83","128.52","124.66","127.16","42944230.46"
"2019-01-12 16:01:00","120.226415","116.56","126.45","114.75","125.83","77318828.9"
"2019-01-13 16:01:00","125.289203","129.74","132.78","116.49","116.56","110822478.03"
"2019-01-14 16:01:00","125.541011","121.22","131.76","118.19","129.74","109930872.67"
"2019-01-15 16:01:00","123.280164","123.12","128.97","120.42","121.22","89667659.36"
"2019-01-16 16:01:00","122.06723","123.72","124.97","118.33","123.12","77554773.43"
"2019-01-17 16:01:00","121.561322","120.57","124.04","119.39","123.72","47693982.95"
"2019-01-18 16:01:00","125.232999","124.85","128.66","120.57","120.57","70412517.95"
"2019-01-19 16:01:00","119.794725","118.41","125.46","112.96","124.85","76407912.2"
"2019-01-20 16:01:00","116.989732","116.72","119.29","114.48","118.41","49298484.48"
"2019-01-21 16:01:00","117.051481","119.12","120.66","112.04","116.72","78267602.06"
"2019-01-22 16:01:00","118.132634","117.57","120.04","115.99","119.12","47347740.34"
"2019-01-23 16:01:00","116.778821","117.7","118.58","114.63","117.57","51912659.64"
"2019-01-24 16:01:00","116.22788","115.92","118.38","115.13","117.7","50438139.37"
"2019-01-25 16:01:00","117.589689","116.33","119.3","115.69","115.92","28475056.88"
"2019-01-26 16:01:00","114.354481","112.27","117.02","111.58","116.33","53136225.33"
"2019-01-27 16:01:00","106.215892","106.36","113.19","101.94","112.27","98142843.05"
"2019-01-28 16:01:00","104.6941","104.75","106.78","102.95","106.36","58780992.27"
"2019-01-29 16:01:00","107.846689","109.04","110.46","103.68","104.75","76425828.22"
"2019-01-30 16:01:00","108.023405","106.89","111.73","105.75","109.04","50405787.04"
"2019-01-31 16:01:00","106.209724","107.03","108.71","104.14","106.89","55930619.34"
"2019-02-01 16:02:00","108.74784","111","111.98","106.25","107.03","38110112.83"
"2019-02-02 16:02:00","108.552698","107.21","111.97","105.82","111","44473549.85"
"2019-02-03 16:02:00","107.067739","106.9","109.06","106.44","107.21","33113542.03"
"2019-02-04 16:02:00","106.669333","106.93","107.34","105.88","106.9","24525280.67"
"2019-02-05 16:02:00","103.635936","104.5","107.3","101.25","106.93","69541037.35"
"2019-02-06 16:02:00","104.756551","104.3","106.02","103.69","104.5","31783120.72"
"2019-02-07 16:02:00","113.643805","119.49","123.26","103.51","104.3","132561283.23"
"2019-02-08 16:02:00","119.340578","119.46","121.58","117.49","119.49","39089760.46"
"2019-02-09 16:02:00","120.130634","125.58","126.39","116.33","119.46","68515466.51"
"2019-02-10 16:02:00","121.136518","120.76","125.58","119.73","125.58","68979406.91"
"2019-02-11 16:02:00","121.178848","122.63","124.31","118.25","120.76","65949880.5"
"2019-02-12 16:02:00","123.419924","122.31","126.81","121.11","122.63","65675655.45"
"2019-02-13 16:02:00","122.090475","120.85","124.75","120.07","122.31","58046997.21"
"2019-02-14 16:02:00","122.463001","122.02","124.75","120.62","120.85","49509064.16"
"2019-02-15 16:02:00","123.702066","123.26","125.31","122.02","122.02","29940250.66"
"2019-02-16 16:02:00","129.650812","134.28","136.27","123.07","123.26","135450665.63"
"2019-02-17 16:02:00","141.998218","146.53","149.77","133.11","134.28","221696151.26"
"2019-02-18 16:02:00","147.487065","144.4","151.25","143.98","146.53","123011057.32"
"2019-02-19 16:02:00","145.739473","149.23","150.35","141.39","144.4","109146484.89"
"2019-02-20 16:02:00","146.674846","146.36","151.86","143.64","149.23","95560599.55"
"2019-02-21 16:02:00","148.074882","149.04","150.03","144.31","146.36","103047931.55"
"2019-02-22 16:02:00","154.951318","159.48","161.51","147.17","149.04","141170976.87"
"2019-02-23 16:02:00","149.315398","133.42","167.67","133.15","159.48","241116547.17"
"2019-02-24 16:02:00","138.416506","139.02","142.54","133.21","133.42","121457228.38"
"2019-02-25 16:02:00","136.810947","137.12","139.47","134.46","139.02","61461262.98"
"2019-02-26 16:02:00","135.257743","135.94","141.64","127.72","137.12","112907848.45"
"2019-02-27 16:02:00","137.433269","136.29","140.7","134.01","135.94","97737312.75"
"2019-02-28 16:02:00","136.828407","136.15","139.06","135.69","136.29","45791967.5"
"2019-03-01 16:03:00","133.902543","133.81","136.81","131.13","136.15","52821793.48"
"2019-03-02 16:03:00","132.722315","131.21","135.98","128.88","133.81","36361053.96"
"2019-03-03 16:03:00","127.328839","126.43","131.73","123.96","131.21","77542631.54"
"2019-03-04 16:03:00","133.533607","137.93","139","126.05","126.43","97489028.36"
"2019-03-05 16:03:00","137.932321","138.49","141.71","134.7","137.93","84214712.35"
"2019-03-06 16:03:00","138.283063","137.65","141.12","135.98","138.49","58635308.29"
"2019-03-07 16:03:00","136.404845","134.42","140.53","131.61","137.65","73110484.61"
"2019-03-08 16:03:00","137.621981","138.24","139.84","133.74","134.42","48811186.21"
"2019-03-09 16:03:00","136.548634","136.36","138.53","135.07","138.24","29367443.65"
"2019-03-10 17:03:00","133.767473","133.54","137.11","131.96","136.36","53827993.78"
"2019-03-11 17:03:00","133.158114","134.37","136.21","129.14","133.54","63258337.52"
"2019-03-12 17:03:00","132.922898","132.93","134.42","131.61","134.37","31732444.2"
"2019-03-13 17:03:00","132.893237","132.89","136.48","130.3","132.93","44781103.25"
"2019-03-14 17:03:00","136.162649","137.63","138.91","132.86","132.89","72468725.89"
"2019-03-15 17:03:00","141.911139","141.68","145.91","137.57","137.63","78670145.68"
"2019-03-16 17:03:00","139.884742","139.74","141.69","138.1","141.68","37641607.63"
"2019-03-17 17:03:00","138.96961","138.5","142.85","137.19","139.74","54258503.69"
"2019-03-18 17:03:00","138.577573","139.46","140.19","137.73","138.5","34618229.72"
"2019-03-19 17:03:00","138.863057","140.22","140.79","136.72","139.46","43575339.61"
"2019-03-20 17:03:00","137.225616","135.61","140.65","133.53","140.22","57758749.07"
"2019-03-21 17:03:00","136.654008","136.76","137.99","135.09","135.61","32302482.16"
"2019-03-22 17:03:00","137.588573","137.74","138.65","136.43","136.76","27909491.25"
"2019-03-23 17:03:00","136.037767","136.21","137.76","135.02","137.74","24934808.44"
"2019-03-24 17:03:00","134.513647","133.96","136.9","131.77","136.21","43666884.14"
"2019-03-25 17:03:00","133.946757","134.29","134.94","132.8","133.96","34634601"
"2019-03-26 17:03:00","137.886544","140.23","140.6","134.21","134.29","59960569.18"
"2019-03-27 17:03:00","138.383977","138.39","140.23","137.63","140.23","28808077.58"
"2019-03-28 17:03:00","141.480236","144.41","144.62","138.02","138.39","52211663.99"
"2019-03-29 17:03:00","144.002327","143.29","147.07","141.18","144.41","44333469.48"
"2019-03-30 17:03:00","142.257328","142.4","143.34","141.39","143.29","18780247.69"
"2019-03-31 17:03:00","142.135379","141.85","143.94","140.08","142.4","47175484.17"
"2019-04-01 17:04:00","156.052459","164.93","167.75","141.6","141.85","199789038.28"
"2019-04-02 17:04:00","169.029161","161.18","179.87","153.03","164.93","351520471.94"
"2019-04-03 17:04:00","159.635265","158.07","164.86","154.29","161.18","135093346.6"
"2019-04-04 17:04:00","164.304171","166.39","168.9","156.78","158.07","93729139.88"
"2019-04-05 17:04:00","167.08027","166.28","173.7","160.96","166.39","93440063.57"
"2019-04-06 17:04:00","171.544015","175.57","177.53","164.94","166.28","95898759.99"
"2019-04-07 17:04:00","181.314379","181.06","187.36","174.62","175.57","209288702"
"2019-04-08 17:04:00","177.64884","176.3","181.13","174.96","181.06","101513775.58"
"2019-04-09 17:04:00","179.190037","177.39","185.57","170.27","176.3","170848830.28"
"2019-04-10 17:04:00","167.78623","165.24","177.63","160.76","177.39","124587430.49"
"2019-04-11 17:04:00","164.322011","164.56","167.61","159.97","165.24","75328846.5"
"2019-04-12 17:04:00","164.581015","164.53","166.53","162.54","164.56","38360717.43"
"2019-04-13 17:04:00","165.285867","168.68","169.79","162.41","164.53","48567123.12"
"2019-04-14 17:04:00","163.097109","160.3","170.06","156.33","168.68","91325069.58"
"2019-04-15 17:04:00","164.081641","166.9","168.21","159.52","160.3","70932570.59"
"2019-04-16 17:04:00","166.684642","167.02","168.85","165.04","166.9","54188457"
"2019-04-17 17:04:00","173.057035","174.6","176.62","166.64","167.02","108117562.52"
"2019-04-18 17:04:00","172.680058","174.13","174.79","169.82","174.6","64497766.36"
"2019-04-19 17:04:00","174.496252","173.96","178.3","171.17","174.13","44763261.76"
"2019-04-20 17:04:00","169.7115","170.3","174.67","166.69","173.96","64705903.53"
"2019-04-21 17:04:00","171.220721","171.9","174.02","168.63","170.3","66451729.2"
